Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,0.6669831275939941,1.51,9.53,-0.06,-0.03,-0.02,0.01,Unmarked
MPY ESP32,0.773097038269043,1.46,9.55,-0.09,-0.03,-0.02,0.02,Unmarked
MPY ESP32,0.8627738952636719,1.43,9.52,-0.09,-0.02,-0.02,0.02,Unmarked
MPY ESP32,0.9682919979095459,1.49,9.57,-0.1,-0.02,-0.02,0.01,Unmarked
MPY ESP32,1.073275089263916,1.57,9.61,-0.09,-0.02,-0.02,0.02,Unmarked
MPY ESP32,1.1778528690338135,1.56,9.6,-0.12,-0.03,-0.0,0.02,Unmarked
MPY ESP32,1.2831029891967773,1.54,9.58,-0.06,-0.03,-0.0,0.01,Unmarked
MPY ESP32,1.3882849216461182,1.52,9.53,-0.03,-0.03,-0.02,0.03,Unmarked
MPY ESP32,1.4931628704071045,1.41,9.39,0.0,-0.01,-0.03,0.06,Unmarked
MPY ESP32,1.5975680351257324,1.91,9.66,0.03,0.01,-0.03,0.05,Unmarked
MPY ESP32,1.702362060546875,1.46,9.49,-0.17,-0.01,0.0,0.05,Unmarked
MPY ESP32,1.807983160018921,1.74,9.54,-0.01,-0.04,0.02,0.04,Unmarked
MPY ESP32,1.9122810363769531,1.68,9.5,0.02,-0.05,0.02,0.05,Unmarked
MPY ESP32,2.03240704536438,1.74,9.45,-0.0,-0.06,0.0,0.05,Unmarked
MPY ESP32,2.122511148452759,2.18,9.72,0.13,-0.07,0.0,0.02,Unmarked
MPY ESP32,2.2582809925079346,1.84,9.53,0.09,-0.04,0.01,-0.06,Unmarked
MPY ESP32,2.333008050918579,1.66,9.51,0.14,-0.04,-0.01,-0.06,Unmarked
MPY ESP32,2.4375600814819336,1.56,9.47,0.21,-0.05,-0.01,-0.04,Unmarked
MPY ESP32,2.542992115020752,1.68,9.58,0.28,-0.04,-0.01,-0.04,Unmarked
MPY ESP32,2.6477959156036377,1.48,9.52,0.2,-0.03,-0.02,-0.03,Unmarked
MPY ESP32,2.7530770301818848,1.58,9.67,0.13,-0.04,-0.03,-0.02,Unmarked
MPY ESP32,2.8581879138946533,1.59,9.54,0.38,-0.01,-0.03,-0.05,Unmarked
MPY ESP32,2.962043046951294,1.29,9.48,0.27,0.02,-0.04,-0.04,Unmarked
MPY ESP32,3.0674400329589844,1.3,9.53,0.12,0.04,-0.07,-0.02,Unmarked
MPY ESP32,3.1872050762176514,1.38,9.57,0.1,0.03,-0.06,-0.01,Unmarked
MPY ESP32,3.2769830226898193,1.38,9.59,0.1,0.02,-0.06,-0.01,Unmarked
MPY ESP32,3.397298812866211,1.39,9.62,0.03,0.03,-0.06,-0.01,Unmarked
MPY ESP32,3.4864439964294434,1.28,9.56,-0.09,0.04,-0.06,-0.01,Unmarked
MPY ESP32,3.5916199684143066,1.35,9.61,-0.11,0.04,-0.07,-0.02,Unmarked
MPY ESP32,3.6960980892181396,1.15,9.5,-0.16,0.04,-0.06,-0.02,Unmarked
MPY ESP32,3.8012490272521973,1.25,9.56,-0.25,0.05,-0.06,-0.0,Unmarked
MPY ESP32,3.906209945678711,1.06,9.56,-0.47,0.02,-0.06,0.0,Unmarked
MPY ESP32,4.01219916343689,1.18,9.5,-0.37,0.01,-0.05,-0.0,Unmarked
MPY ESP32,4.11667799949646,1.16,9.54,-0.46,-0.0,-0.05,0.0,Unmarked
MPY ESP32,4.221039056777954,1.26,9.59,-0.37,-0.02,-0.05,-0.0,Unmarked
MPY ESP32,4.32616400718689,1.18,9.58,-0.43,-0.01,-0.04,-0.02,Unmarked
MPY ESP32,4.4318671226501465,1.01,9.49,-0.43,-0.04,-0.02,0.01,Unmarked
MPY ESP32,4.536772012710571,1.25,9.62,-0.36,-0.03,-0.02,0.0,Unmarked
MPY ESP32,4.641439914703369,1.28,9.62,-0.43,-0.01,-0.03,0.0,Unmarked
MPY ESP32,4.74631404876709,1.17,9.61,-0.45,-0.02,-0.02,-0.0,Unmarked
MPY ESP32,4.851232051849365,1.18,9.57,-0.34,-0.04,-0.02,0.0,Unmarked
MPY ESP32,4.956942081451416,1.17,9.63,-0.41,-0.05,-0.01,-0.0,Unmarked
MPY ESP32,5.063503980636597,1.14,9.6,-0.34,-0.04,-0.01,-0.0,Unmarked
MPY ESP32,5.168139934539795,1.06,9.54,-0.34,-0.04,-0.01,0.01,Unmarked
MPY ESP32,5.272781133651733,1.13,9.57,-0.3,-0.04,-0.01,0.01,Unmarked
MPY ESP32,5.376890182495117,1.14,9.63,-0.29,-0.02,-0.02,0.01,Unmarked
MPY ESP32,5.483027935028076,1.11,9.59,-0.33,-0.02,-0.01,0.02,Unmarked
MPY ESP32,5.587526082992554,1.2,9.6,-0.32,-0.02,-0.02,0.01,Unmarked
MPY ESP32,5.692454099655151,1.18,9.6,-0.31,-0.03,-0.01,0.02,Unmarked
MPY ESP32,5.798098802566528,1.12,9.58,-0.36,-0.03,-0.01,0.02,Unmarked
MPY ESP32,5.902827978134155,1.15,9.61,-0.34,-0.02,-0.02,0.02,Unmarked
MPY ESP32,6.007421970367432,1.15,9.56,-0.3,-0.01,-0.01,0.01,Unmarked
MPY ESP32,6.112756967544556,1.2,9.56,-0.27,-0.02,-0.02,0.01,Unmarked
MPY ESP32,6.217810869216919,1.23,9.58,-0.26,-0.02,-0.02,0.01,Unmarked
MPY ESP32,6.322831153869629,1.17,9.58,-0.31,-0.01,-0.02,0.01,Unmarked
MPY ESP32,6.427455902099609,1.22,9.57,-0.29,-0.02,-0.02,0.01,Unmarked
MPY ESP32,6.532210826873779,1.19,9.6,-0.3,-0.01,-0.02,0.01,Unmarked
MPY ESP32,6.637494087219238,1.24,9.6,-0.27,-0.03,-0.01,0.0,Unmarked
MPY ESP32,6.742797136306763,1.19,9.58,-0.27,-0.03,-0.01,0.01,Unmarked
MPY ESP32,6.847015142440796,1.18,9.55,-0.27,-0.02,-0.02,0.0,Unmarked
MPY ESP32,6.9519360065460205,1.16,9.58,-0.26,-0.02,-0.02,0.01,Unmarked
MPY ESP32,7.057761907577515,1.24,9.59,-0.2,-0.02,-0.02,-0.0,Unmarked
MPY ESP32,7.162278175354004,1.18,9.61,-0.22,-0.01,-0.02,0.02,Unmarked
MPY ESP32,7.267032146453857,1.15,9.5,-0.26,-0.0,-0.02,0.01,Unmarked
MPY ESP32,7.387538909912109,1.13,9.57,-0.26,-0.01,-0.03,0.01,Unmarked
MPY ESP32,7.477297782897949,1.17,9.57,-0.27,-0.0,-0.04,0.01,Unmarked
MPY ESP32,7.582067966461182,1.21,9.58,-0.32,0.01,-0.03,0.03,Unmarked
MPY ESP32,7.686669111251831,1.21,9.59,-0.4,0.01,-0.01,0.03,Unmarked
MPY ESP32,7.792068004608154,1.21,9.57,-0.39,-0.01,-0.01,0.03,Unmarked
MPY ESP32,7.897485971450806,1.24,9.56,-0.37,-0.01,-0.0,0.02,Unmarked
MPY ESP32,8.032106876373291,1.29,9.59,-0.4,-0.02,-0.01,0.02,Unmarked
MPY ESP32,8.106781005859375,1.33,9.58,-0.37,-0.02,-0.02,0.01,Unmarked
MPY ESP32,8.212185144424438,1.28,9.57,-0.38,-0.03,-0.02,0.0,Unmarked
MPY ESP32,8.317461967468262,1.21,9.56,-0.37,-0.04,-0.02,0.0,Unmarked
MPY ESP32,8.422178983688354,1.28,9.65,-0.4,-0.03,-0.04,-0.01,Unmarked
MPY ESP32,8.527442932128906,1.19,9.56,-0.29,-0.02,-0.05,-0.01,Unmarked
MPY ESP32,8.632306814193726,1.22,9.57,-0.33,-0.0,-0.04,0.01,Unmarked
MPY ESP32,8.736996173858643,1.27,9.61,-0.32,-0.01,-0.02,0.02,Unmarked
