Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Label
0.666983128,1.51,9.53,-0.06,-0.03,-0.02,0.01,Stand
0.773097038,1.46,9.55,-0.09,-0.03,-0.02,0.02,Stand
0.862773895,1.43,9.52,-0.09,-0.02,-0.02,0.02,Stand
0.968291998,1.49,9.57,-0.1,-0.02,-0.02,0.01,Stand
1.073275089,1.57,9.61,-0.09,-0.02,-0.02,0.02,Stand
1.177852869,1.56,9.6,-0.12,-0.03,0,0.02,Stand
1.283102989,1.54,9.58,-0.06,-0.03,0,0.01,Stand
1.388284922,1.52,9.53,-0.03,-0.03,-0.02,0.03,Stand
1.49316287,1.41,9.39,0,-0.01,-0.03,0.06,Stand
1.597568035,1.91,9.66,0.03,0.01,-0.03,0.05,Stand
1.702362061,1.46,9.49,-0.17,-0.01,0,0.05,Stand
1.80798316,1.74,9.54,-0.01,-0.04,0.02,0.04,Stand
1.912281036,1.68,9.5,0.02,-0.05,0.02,0.05,Stand
2.032407045,1.74,9.45,0,-0.06,0,0.05,Stand
2.122511148,2.18,9.72,0.13,-0.07,0,0.02,Stand
2.258280993,1.84,9.53,0.09,-0.04,0.01,-0.06,Stand
2.333008051,1.66,9.51,0.14,-0.04,-0.01,-0.06,Stand
2.437560081,1.56,9.47,0.21,-0.05,-0.01,-0.04,Stand
2.542992115,1.68,9.58,0.28,-0.04,-0.01,-0.04,Stand
2.647795916,1.48,9.52,0.2,-0.03,-0.02,-0.03,Stand
2.75307703,1.58,9.67,0.13,-0.04,-0.03,-0.02,Stand
2.858187914,1.59,9.54,0.38,-0.01,-0.03,-0.05,Stand
2.962043047,1.29,9.48,0.27,0.02,-0.04,-0.04,Stand
3.067440033,1.3,9.53,0.12,0.04,-0.07,-0.02,Stand
3.187205076,1.38,9.57,0.1,0.03,-0.06,-0.01,Stand
3.276983023,1.38,9.59,0.1,0.02,-0.06,-0.01,Stand
3.397298813,1.39,9.62,0.03,0.03,-0.06,-0.01,Stand
3.486443996,1.28,9.56,-0.09,0.04,-0.06,-0.01,Stand
3.591619968,1.35,9.61,-0.11,0.04,-0.07,-0.02,Stand
3.696098089,1.15,9.5,-0.16,0.04,-0.06,-0.02,Stand
3.801249027,1.25,9.56,-0.25,0.05,-0.06,0,Stand
3.906209946,1.06,9.56,-0.47,0.02,-0.06,0,Stand
4.012199163,1.18,9.5,-0.37,0.01,-0.05,0,Stand
4.116677999,1.16,9.54,-0.46,0,-0.05,0,Stand
4.221039057,1.26,9.59,-0.37,-0.02,-0.05,0,Stand
4.326164007,1.18,9.58,-0.43,-0.01,-0.04,-0.02,Stand
4.431867123,1.01,9.49,-0.43,-0.04,-0.02,0.01,Stand
4.536772013,1.25,9.62,-0.36,-0.03,-0.02,0,Stand
4.641439915,1.28,9.62,-0.43,-0.01,-0.03,0,Stand
4.746314049,1.17,9.61,-0.45,-0.02,-0.02,0,Stand
4.851232052,1.18,9.57,-0.34,-0.04,-0.02,0,Stand
4.956942081,1.17,9.63,-0.41,-0.05,-0.01,0,Stand
5.063503981,1.14,9.6,-0.34,-0.04,-0.01,0,Stand
5.168139935,1.06,9.54,-0.34,-0.04,-0.01,0.01,Stand
5.272781134,1.13,9.57,-0.3,-0.04,-0.01,0.01,Stand
5.376890182,1.14,9.63,-0.29,-0.02,-0.02,0.01,Stand
5.483027935,1.11,9.59,-0.33,-0.02,-0.01,0.02,Stand
5.587526083,1.2,9.6,-0.32,-0.02,-0.02,0.01,Stand
5.6924541,1.18,9.6,-0.31,-0.03,-0.01,0.02,Stand
5.798098803,1.12,9.58,-0.36,-0.03,-0.01,0.02,Stand
5.902827978,1.15,9.61,-0.34,-0.02,-0.02,0.02,Stand
6.00742197,1.15,9.56,-0.3,-0.01,-0.01,0.01,Stand
6.112756968,1.2,9.56,-0.27,-0.02,-0.02,0.01,Stand
6.217810869,1.23,9.58,-0.26,-0.02,-0.02,0.01,Stand
6.322831154,1.17,9.58,-0.31,-0.01,-0.02,0.01,Stand
6.427455902,1.22,9.57,-0.29,-0.02,-0.02,0.01,Stand
6.532210827,1.19,9.6,-0.3,-0.01,-0.02,0.01,Stand
6.637494087,1.24,9.6,-0.27,-0.03,-0.01,0,Stand
6.742797136,1.19,9.58,-0.27,-0.03,-0.01,0.01,Stand
6.847015142,1.18,9.55,-0.27,-0.02,-0.02,0,Stand
6.951936007,1.16,9.58,-0.26,-0.02,-0.02,0.01,Stand
7.057761908,1.24,9.59,-0.2,-0.02,-0.02,0,Stand
7.162278175,1.18,9.61,-0.22,-0.01,-0.02,0.02,Stand
7.267032146,1.15,9.5,-0.26,0,-0.02,0.01,Stand
7.38753891,1.13,9.57,-0.26,-0.01,-0.03,0.01,Stand
7.477297783,1.17,9.57,-0.27,0,-0.04,0.01,Stand
7.582067966,1.21,9.58,-0.32,0.01,-0.03,0.03,Stand
7.686669111,1.21,9.59,-0.4,0.01,-0.01,0.03,Stand
7.792068005,1.21,9.57,-0.39,-0.01,-0.01,0.03,Stand
7.897485971,1.24,9.56,-0.37,-0.01,0,0.02,Stand
8.032106876,1.29,9.59,-0.4,-0.02,-0.01,0.02,Stand
8.106781006,1.33,9.58,-0.37,-0.02,-0.02,0.01,Stand
8.212185144,1.28,9.57,-0.38,-0.03,-0.02,0,Stand
8.317461967,1.21,9.56,-0.37,-0.04,-0.02,0,Stand
8.422178984,1.28,9.65,-0.4,-0.03,-0.04,-0.01,Stand
8.527442932,1.19,9.56,-0.29,-0.02,-0.05,-0.01,Stand
8.632306814,1.22,9.57,-0.33,0,-0.04,0.01,Stand
8.736996174,1.27,9.61,-0.32,-0.01,-0.02,0.02,Stand
8.842422009,1.24,9.55,-0.41,-0.01,-0.02,0.02,Stand
8.946856976,1.32,9.55,-0.35,-0.01,0,0.03,Stand
9.052681923,1.31,9.57,-0.35,-0.02,0,0.02,Stand
9.158900976,1.27,9.57,-0.38,-0.03,0.01,0.03,Stand
9.262628078,1.3,9.58,-0.43,-0.02,0,0.02,Stand
9.367625952,1.32,9.55,-0.39,-0.03,0,0.02,Stand
9.472276926,1.38,9.59,-0.34,-0.03,0,0.01,Stand
9.577764034,1.36,9.57,-0.34,-0.04,0,0.01,Stand
9.683073997,1.36,9.54,-0.28,-0.04,0,0.01,Stand
9.787815094,1.28,9.55,-0.27,-0.04,-0.01,0,Stand
9.893642902,1.27,9.55,-0.23,-0.03,0,0.01,Stand
9.997895956,1.36,9.6,-0.29,-0.03,0,0.02,Stand
10.10295701,1.33,9.56,-0.26,-0.04,0.01,0.03,Stand
10.20772982,1.34,9.54,-0.22,-0.04,0,0.01,Stand
10.31351495,1.41,9.6,-0.19,-0.04,0,0,Stand
10.41822696,1.29,9.53,-0.11,-0.04,0,0,Stand
10.52293086,1.34,9.56,-0.14,-0.05,0,0,Stand
10.62744021,1.3,9.58,-0.21,-0.04,-0.01,0,Stand
10.73276114,1.38,9.59,-0.1,-0.04,-0.01,-0.01,Stand
10.83839893,1.26,9.55,-0.05,-0.04,-0.01,0,Stand
10.94304991,1.34,9.6,-0.05,-0.04,-0.02,0,Stand
11.04816103,1.34,9.55,0,-0.04,-0.01,0,Stand
11.15325403,1.3,9.58,0,-0.05,-0.02,0,Stand
11.25709796,1.26,9.54,0.04,-0.03,-0.02,0,Stand
11.36250901,1.3,9.62,-0.02,-0.03,-0.02,0,Stand
11.46731997,1.29,9.57,0.05,-0.02,-0.02,0.01,Stand
11.57221198,1.25,9.56,0.04,-0.03,-0.02,0.01,Stand
11.67740417,1.27,9.58,0.08,-0.03,-0.01,0.01,Stand
11.78211308,1.27,9.55,0.07,-0.02,-0.02,0.01,Stand
11.88749099,1.26,9.56,0.07,-0.02,-0.02,0.01,Stand
11.99251699,1.34,9.58,0.08,-0.02,-0.01,0.02,Stand
12.09739804,1.29,9.57,0.08,-0.02,-0.02,0.01,Stand
12.20265913,1.28,9.56,0.08,-0.03,-0.01,0,Stand
12.30750895,1.29,9.54,0.13,-0.03,-0.02,0,Stand
12.42264485,1.31,9.57,0.14,-0.02,-0.03,0,Stand
12.517483,1.3,9.58,0.09,-0.02,-0.03,0.01,Stand
12.62204599,1.32,9.57,0.09,-0.02,-0.02,0.01,Stand
12.72699499,1.26,9.56,0.12,-0.03,-0.02,0.01,Stand
12.83243895,1.35,9.55,0.2,-0.02,-0.02,0.01,Stand
12.937181,1.39,9.6,0.14,-0.01,-0.02,0.01,Stand
13.04192519,1.28,9.61,0.12,-0.02,-0.02,0.01,Stand
13.1620779,1.3,9.59,0.12,-0.02,-0.02,0.01,Stand
13.25173092,1.26,9.56,0.08,-0.02,-0.02,0.01,Stand
13.35675597,1.29,9.56,0.1,-0.02,-0.02,0.01,Stand
13.46150017,1.3,9.56,0.11,-0.02,-0.02,0.01,Stand
13.56758094,1.25,9.56,0.11,-0.01,-0.02,0.01,Stand
13.6715641,1.28,9.56,0.1,-0.02,-0.02,0.01,Stand
13.77702284,1.3,9.56,0.1,-0.03,-0.02,0.01,Stand
13.88214493,1.29,9.57,0.12,-0.01,-0.02,0.01,Stand
13.98707104,1.27,9.56,0.08,-0.02,-0.02,0.01,Stand
14.09215903,1.28,9.56,0.11,-0.01,-0.03,0.01,Stand
14.19713998,1.32,9.58,0.1,-0.01,-0.02,0.01,Stand
14.30247498,1.32,9.59,0.13,-0.03,-0.02,0.01,Stand
14.42123485,1.33,9.54,0.14,-0.02,-0.02,0.01,Stand
14.51347494,1.3,9.55,0.07,-0.01,-0.02,0.01,Stand
14.61773205,1.42,9.66,0.08,-0.02,-0.02,0.01,Stand
14.72185707,1.34,9.55,0.1,-0.03,-0.02,0.02,Stand
14.82621789,1.34,9.57,0.13,-0.03,-0.01,0.01,Stand
14.93239284,1.3,9.55,0.15,-0.02,-0.02,0,Stand
15.03803205,1.28,9.56,0.15,-0.03,-0.02,0,Stand
15.14307308,1.26,9.54,0.12,-0.02,-0.03,-0.01,Stand
15.2469418,1.2,9.52,0.16,-0.03,-0.02,-0.01,Stand
15.35300493,1.19,9.51,0.14,-0.02,-0.03,-0.02,Stand
15.45810199,1.27,9.57,0.16,-0.03,-0.03,-0.01,Stand
15.56249213,1.25,9.64,0.14,-0.02,-0.03,-0.02,Stand
15.66901398,1.19,9.58,0.14,-0.03,-0.01,-0.01,Stand
15.77245307,1.14,9.59,0.08,-0.03,-0.01,0,Stand
15.87711096,1.12,9.56,0.08,-0.03,-0.02,0,Stand
15.9825871,1.16,9.55,0.21,-0.03,-0.03,0,Stand
16.08717108,1.15,9.6,0.24,-0.02,-0.03,0.01,Stand
