Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,2.403693199157715,-0.2,9.68,-0.87,-0.08,0.1,-0.01,Unmarked
M5-IMU-Janice,2.508793830871582,-0.11,9.72,-0.87,-0.06,0.08,-0.02,Unmarked
M5-IMU-Janice,2.614436388015747,0.01,9.68,-0.77,-0.03,0.08,-0.05,Unmarked
M5-IMU-Janice,2.7043299674987793,-0.21,9.66,-0.77,-0.02,0.07,-0.07,Unmarked
M5-IMU-Janice,2.809401035308838,-0.39,9.69,-0.77,-0.01,0.06,-0.05,Unmarked
M5-IMU-Janice,2.9143927097320557,-0.33,9.67,-0.8,-0.0,-0.0,0.11,Unmarked
M5-IMU-Janice,3.003196954727173,0.05,9.67,-0.84,0.02,0.03,0.17,Unmarked
M5-IMU-Janice,3.107815742492676,0.16,9.75,-0.84,0.02,0.1,0.08,Unmarked
M5-IMU-Janice,3.2140278816223145,0.13,9.71,-0.96,0.01,0.07,0.02,Unmarked
M5-IMU-Janice,3.304109573364258,0.18,9.72,-0.89,-0.0,0.02,-0.07,Unmarked
M5-IMU-Janice,3.408895254135132,0.08,9.76,-0.91,-0.02,0.0,-0.19,Unmarked
M5-IMU-Janice,3.514327049255371,-0.29,9.59,-0.85,0.02,0.03,-0.26,Unmarked
M5-IMU-Janice,3.60626482963562,-0.55,9.55,-1.02,0.03,-0.05,0.02,Unmarked
M5-IMU-Janice,3.7106947898864746,-0.08,9.73,-0.94,0.01,0.0,0.02,Unmarked
M5-IMU-Janice,3.8292529582977295,-0.31,9.67,-0.99,0.0,-0.01,-0.05,Unmarked
M5-IMU-Janice,3.949028730392456,-0.4,9.64,-1.05,0.01,-0.0,0.05,Unmarked
M5-IMU-Janice,4.008779287338257,-0.3,9.64,-1.02,0.03,-0.01,0.03,Unmarked
M5-IMU-Janice,4.128470182418823,-0.43,9.61,-1.13,0.03,-0.04,0.03,Unmarked
M5-IMU-Janice,4.248721122741699,-0.21,9.69,-1.09,0.03,0.02,0.02,Unmarked
M5-IMU-Janice,4.308877944946289,-0.25,9.68,-1.11,0.01,0.01,0.01,Unmarked
M5-IMU-Janice,4.430377721786499,-0.19,9.63,-1.12,0.02,0.02,-0.01,Unmarked
M5-IMU-Janice,4.548739433288574,-0.28,9.62,-1.19,0.01,0.02,-0.02,Unmarked
M5-IMU-Janice,4.610012054443359,-0.3,9.66,-1.21,0.01,0.01,-0.01,Unmarked
M5-IMU-Janice,4.729880332946777,-0.26,9.62,-1.14,0.0,-0.01,-0.0,Unmarked
M5-IMU-Janice,4.850451469421387,-0.19,9.63,-1.16,0.02,-0.0,-0.01,Unmarked
M5-IMU-Janice,4.910508632659912,-0.31,9.61,-1.25,0.02,-0.0,-0.02,Unmarked
M5-IMU-Janice,5.028624057769775,-0.35,9.68,-1.28,0.0,-0.01,0.01,Unmarked
M5-IMU-Janice,5.149075031280518,-0.41,9.68,-1.34,-0.01,-0.02,0.01,Unmarked
M5-IMU-Janice,5.209094047546387,-0.31,9.63,-1.32,-0.02,0.0,0.0,Unmarked
M5-IMU-Janice,5.3278586864471436,-0.3,9.64,-1.28,-0.03,0.01,0.01,Unmarked
