Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.0,-6.16,-1.09,-7.78,0.02,-0.02,0.02
0.10551762580871582,-6.06,-1.15,-7.73,0.02,-0.03,-0.0
0.20856928825378418,-6.16,-1.08,-7.7,0.02,-0.01,-0.0
0.3124663829803467,-6.23,-0.94,-7.83,-0.04,0.03,0.02
0.41219615936279297,-5.94,-1.04,-7.84,0.06,-0.03,0.0
0.5253109931945801,-6.27,-1.21,-7.81,0.04,-0.07,0.0
0.6297080516815186,-6.29,-1.13,-7.6,-0.03,-0.01,0.02
0.730029821395874,-6.16,-1.07,-7.78,0.02,0.01,0.0
0.836101770401001,-6.13,-1.11,-7.78,0.01,-0.03,0.02
0.9403347969055176,-6.2,-1.2,-7.69,0.02,-0.02,0.01
1.046443223953247,-6.16,-1.17,-7.74,-0.0,0.01,0.02
1.154773473739624,-6.09,-1.13,-7.77,0.01,-0.02,0.01
1.274348258972168,-6.23,-1.14,-7.72,0.02,-0.03,0.0
1.3864398002624512,-6.23,-1.07,-7.74,-0.01,0.02,0.03
1.514949083328247,-6.08,-1.06,-7.81,0.01,0.0,0.02
1.6271553039550781,-6.15,-1.19,-7.76,0.03,-0.02,0.01
1.6945827007293701,-6.18,-1.13,-7.71,0.01,-0.02,0.01
1.8075511455535889,-6.05,-1.15,-7.79,0.02,-0.04,-0.01
1.933938980102539,-6.24,-1.09,-7.75,0.02,-0.03,-0.01
2.054098606109619,-6.17,-1.24,-7.66,-0.0,0.0,0.04
2.115513324737549,-6.12,-1.25,-7.76,0.03,0.01,0.02
2.2344112396240234,-6.19,-1.1,-7.71,-0.04,0.0,0.03
2.3547723293304443,-6.04,-0.9,-7.88,0.03,0.0,-0.02
2.4684743881225586,-6.13,-1.15,-7.78,0.07,-0.02,0.03
2.5358541011810303,-6.25,-1.3,-7.56,-0.0,-0.01,0.03
2.655243158340454,-6.18,-1.24,-7.82,0.03,-0.01,-0.0
2.7754080295562744,-6.21,-1.16,-7.79,-0.02,-0.0,0.03
2.8869407176971436,-6.19,-1.04,-7.68,-0.0,0.0,0.02
3.0143558979034424,-6.18,-1.02,-7.73,0.01,-0.01,-0.0
3.0756218433380127,-6.05,-1.15,-7.81,0.02,-0.04,0.02
3.195486068725586,-6.28,-1.29,-7.65,0.01,-0.01,0.01
3.3112261295318604,-6.12,-1.12,-7.73,-0.0,0.02,0.03
3.4353384971618652,-6.13,-1.0,-7.83,0.04,-0.04,0.01
3.496027946472168,-6.28,-1.21,-7.69,-0.01,-0.05,-0.01
3.608699321746826,-6.27,-1.3,-7.63,0.01,-0.0,0.01
3.731450080871582,-6.22,-1.19,-7.77,-0.02,0.01,0.02
3.8547892570495605,-6.1,-0.94,-7.8,-0.01,-0.01,0.02
3.9157259464263916,-6.26,-0.96,-7.77,0.04,-0.02,0.02
4.035938739776611,-6.19,-1.18,-7.74,-0.0,-0.0,0.03
4.152497291564941,-6.09,-1.3,-7.68,0.03,-0.02,0.0
4.275353908538818,-6.22,-1.16,-7.73,0.02,-0.01,0.02
4.393087863922119,-6.24,-1.0,-7.78,-0.01,-0.03,-0.01
4.4557178020477295,-6.15,-1.06,-7.7,0.03,-0.02,0.01
4.573503732681274,-6.23,-1.13,-7.75,0.03,-0.01,0.02
4.695514917373657,-6.19,-1.23,-7.68,0.0,-0.01,0.02
4.815878629684448,-6.2,-1.22,-7.71,0.02,-0.01,0.01
4.87403416633606,-6.16,-1.06,-7.82,-0.01,0.0,0.02
4.9946448802948,-6.15,-1.18,-7.68,0.03,-0.02,0.0
5.114372491836548,-6.19,-1.22,-7.74,0.0,-0.01,0.02
5.228508234024048,-6.19,-1.18,-7.72,-0.01,-0.0,0.03
5.295506715774536,-6.14,-1.14,-7.81,0.01,-0.0,0.02
5.415215969085693,-6.2,-1.0,-7.76,0.01,-0.0,0.02
5.52700400352478,-6.15,-1.08,-7.78,0.02,-0.01,0.01
5.653921842575073,-6.17,-1.21,-7.75,0.0,0.0,0.01
5.828294515609741,-6.12,-1.13,-7.75,-0.0,-0.01,0.04
5.828294515609741,-6.12,-1.16,-7.81,0.02,-0.02,0.01
5.956190347671509,-6.11,-1.1,-7.77,-0.01,0.0,0.01
6.073029041290283,-6.07,-1.05,-7.82,0.02,0.01,0.01
6.196143388748169,-6.11,-1.14,-7.75,0.02,-0.02,0.02
6.255092620849609,-6.18,-1.22,-7.71,0.04,-0.05,-0.01
6.3671839237213135,-6.2,-1.1,-7.76,-0.02,0.01,0.01
6.548015832901001,-6.04,-1.09,-7.81,0.0,0.0,0.02
6.615285634994507,-6.05,-1.09,-7.8,0.03,-0.01,0.0
6.668997526168823,-6.15,-1.23,-7.76,-0.0,-0.02,0.02
6.7902655601501465,-6.2,-1.12,-7.72,0.01,0.02,0.02
6.915307998657227,-6.0,-1.1,-7.9,0.01,0.01,0.02
7.030318021774292,-6.14,-1.32,-7.71,0.05,-0.02,0.02
